strategy,scenario_id,npv_mEUR,total_revenue_mEUR,total_gross_profit_mEUR,total_ebit_mEUR,total_free_cash_flow_mEUR,total_capex_mEUR,total_demand_units,total_delivered_units,total_lost_units,lost_sales_pct_2025_2030,lost_sales_pct_2030_2035,gross_margin_2030,gross_margin_2035,average_utilization,max_ending_backlog_units
A1_Backlog_cautious,78,22069.021490481187,140200.0,84120.0,55982.0,41655.42,5000.0,709.0,701.0,8.0,0.0,0.010395010395010396,0.6,0.6,0.7122222222222222,95.0
A1_Backlog_cautious,79,22674.06429855112,143800.0,86280.0,57208.0,42898.48,5000.0,740.0,719.0,21.0,0.0,0.04133858267716536,0.6,0.6,0.7022222222222222,99.0
A1_Backlog_cautious,80,23309.01084410639,143400.0,86040.0,57044.0,42765.64,5000.0,717.0,717.0,0.0,0.0,0.0,0.6,0.6,0.7048148148148149,72.0
A1_Backlog_cautious,81,21153.39949204368,131600.0,78960.0,52456.0,38799.36,5000.0,658.0,658.0,0.0,0.0,0.0,0.6,0.6,0.6725925925925925,68.0
A1_Backlog_cautious,82,21767.975333155882,138800.0,83280.0,55408.0,41190.48,5000.0,697.0,694.0,3.0,0.0,0.0,0.6,0.6,0.7044444444444444,93.0
A1_Backlog_cautious,83,25528.725822353164,158200.0,94920.0,62612.0,47775.72,5000.0,791.0,791.0,0.0,0.0,0.0,0.6,0.6,0.7181481481481481,74.0
A1_Backlog_cautious,84,23130.952995242616,134600.0,80760.0,53686.0,39795.659999999996,5000.0,708.0,673.0,35.0,0.0,0.07625272331154684,0.6,0.6,0.6981481481481482,95.0
A1_Backlog_cautious,85,20302.04802994889,131200.0,78720.0,52292.0,38666.520000000004,5000.0,659.0,656.0,3.0,0.0,0.00646551724137931,0.6,0.6,0.6659259259259259,91.0
A1_Backlog_cautious,86,23547.945432677712,144800.0,86880.0,57618.0,43230.58,5000.0,731.0,724.0,7.0,0.0,0.014314928425357873,0.6,0.6,0.7114814814814815,81.0
A1_Backlog_cautious,87,24951.86869389699,130800.0,78480.0,53628.0,43438.679999999986,0.0,754.0,654.0,100.0,0.0,0.11003861003861004,0.6,0.6,0.7266666666666667,103.0
A1_Backlog_cautious,88,25071.33598818265,126200.0,75720.0,51742.0,41911.02,0.0,631.0,631.0,0.0,0.0,0.0,0.6,0.6,0.7011111111111111,35.0
A1_Backlog_cautious,89,22657.508532703145,137600.0,82560.0,54916.0,40791.96,5000.0,699.0,688.0,11.0,0.0,0.023965141612200435,0.6,0.6,0.7062962962962963,86.0
A1_Backlog_cautious,90,19592.179194537755,124000.0,74400.0,49340.0,36275.4,5000.0,620.0,620.0,0.0,0.0,0.0,0.6,0.6,0.6344444444444444,87.0
A1_Backlog_cautious,91,22576.22488665968,141800.0,85080.0,56638.0,42186.78,5000.0,745.0,709.0,36.0,0.0,0.07058823529411765,0.6,0.6,0.7211111111111111,96.0
