delivery_year,market_cycle,delivery_demand_units,order_year,orders_placed_units,scenario_id,latest_historical_year,starting_historical_demand_units,is_extension_year
2027,upturn,55,2026,55,29,2025,48.0,False
2028,downturn,49,2027,49,29,2025,48.0,False
2029,upturn,47,2028,47,29,2025,48.0,False
2030,upturn,55,2029,55,29,2025,48.0,False
2031,downturn,72,2030,72,29,2025,48.0,False
2032,upturn,89,2031,89,29,2025,48.0,False
2033,upturn,106,2032,106,29,2025,48.0,False
2034,downturn,99,2033,99,29,2025,48.0,False
2035,upturn,100,2034,100,29,2025,48.0,False
2026,downturn,43,2025,43,30,2025,48.0,False
2027,upturn,54,2026,54,30,2025,48.0,False
2028,upturn,64,2027,64,30,2025,48.0,False
2029,downturn,55,2028,55,30,2025,48.0,False
2030,upturn,63,2029,63,30,2025,48.0,False
2031,upturn,98,2030,98,30,2025,48.0,False
2032,downturn,78,2031,78,30,2025,48.0,False
2033,upturn,82,2032,82,30,2025,48.0,False
2034,upturn,80,2033,80,30,2025,48.0,False
2035,downturn,68,2034,68,30,2025,48.0,False
2026,upturn,56,2025,56,31,2025,48.0,False
2027,upturn,55,2026,55,31,2025,48.0,False
2028,downturn,54,2027,54,31,2025,48.0,False
2029,upturn,59,2028,59,31,2025,48.0,False
2030,upturn,62,2029,62,31,2025,48.0,False
2031,downturn,71,2030,71,31,2025,48.0,False
2032,upturn,88,2031,88,31,2025,48.0,False
2033,upturn,98,2032,98,31,2025,48.0,False
2034,downturn,87,2033,87,31,2025,48.0,False
2035,upturn,101,2034,101,31,2025,48.0,False
2026,downturn,43,2025,43,32,2025,48.0,False
2027,upturn,48,2026,48,32,2025,48.0,False
2028,upturn,51,2027,51,32,2025,48.0,False
2029,downturn,44,2028,44,32,2025,48.0,False
2030,upturn,54,2029,54,32,2025,48.0,False
2031,upturn,90,2030,90,32,2025,48.0,False
2032,downturn,83,2031,83,32,2025,48.0,False
2033,upturn,102,2032,102,32,2025,48.0,False
2034,upturn,99,2033,99,32,2025,48.0,False
2035,downturn,88,2034,88,32,2025,48.0,False
2026,upturn,57,2025,57,33,2025,48.0,False
2027,upturn,56,2026,56,33,2025,48.0,False
2028,downturn,55,2027,55,33,2025,48.0,False
2029,upturn,61,2028,61,33,2025,48.0,False
2030,upturn,62,2029,62,33,2025,48.0,False
2031,downturn,67,2030,67,33,2025,48.0,False
2032,upturn,71,2031,71,33,2025,48.0,False
2033,upturn,90,2032,90,33,2025,48.0,False
2034,downturn,81,2033,81,33,2025,48.0,False
