date,temperature_2m_mean_mato_grosso,temperature_2m_max_mato_grosso,temperature_2m_min_mato_grosso,precipitation_sum_mato_grosso,soil_moisture_0_to_7cm_mean_mato_grosso,soil_moisture_7_to_28cm_mean_mato_grosso,soil_moisture_28_to_100cm_mean_mato_grosso,soil_moisture_0_to_100cm_mean_mato_grosso,soil_temperature_0_to_7cm_mean_mato_grosso,et0_fao_evapotranspiration_sum_mato_grosso,relative_humidity_2m_mean_mato_grosso,vapour_pressure_deficit_max_mato_grosso,wet_bulb_temperature_2m_mean_mato_grosso,snowfall_water_equivalent_sum_mato_grosso,wind_speed_10m_max_mato_grosso,temperature_2m_mean_parana,temperature_2m_max_parana,temperature_2m_min_parana,precipitation_sum_parana,soil_moisture_0_to_7cm_mean_parana,soil_moisture_7_to_28cm_mean_parana,soil_moisture_28_to_100cm_mean_parana,soil_moisture_0_to_100cm_mean_parana,soil_temperature_0_to_7cm_mean_parana,et0_fao_evapotranspiration_sum_parana,relative_humidity_2m_mean_parana,vapour_pressure_deficit_max_parana,wet_bulb_temperature_2m_mean_parana,snowfall_water_equivalent_sum_parana,wind_speed_10m_max_parana,temperature_2m_mean_rio_grande_sul,temperature_2m_max_rio_grande_sul,temperature_2m_min_rio_grande_sul,precipitation_sum_rio_grande_sul,soil_moisture_0_to_7cm_mean_rio_grande_sul,soil_moisture_7_to_28cm_mean_rio_grande_sul,soil_moisture_28_to_100cm_mean_rio_grande_sul,soil_moisture_0_to_100cm_mean_rio_grande_sul,soil_temperature_0_to_7cm_mean_rio_grande_sul,et0_fao_evapotranspiration_sum_rio_grande_sul,relative_humidity_2m_mean_rio_grande_sul,vapour_pressure_deficit_max_rio_grande_sul,wet_bulb_temperature_2m_mean_rio_grande_sul,snowfall_water_equivalent_sum_rio_grande_sul,wind_speed_10m_max_rio_grande_sul
2005-01-31,24.261335,29.428,22.127998,10.499999,0.48254168,0.48970827,0.5101667,0.5039367,24.859247,3.321354,91.15264,1.3838773,23.058052,0.0,6.130579,21.504915,26.4195,16.8195,0.0,0.44641665,0.45041665,0.48637494,0.47602665,21.686167,5.033696,70.758064,1.6367453,17.670687,0.0,14.917212,26.256582,31.8295,21.5295,0.0,0.2815,0.30516663,0.34112504,0.32940003,26.93783,6.39368,57.911972,2.767801,20.119694,0.0,21.349546
2005-02-01,23.617584,26.078,21.828,17.6,0.475,0.47595835,0.5120416,0.5018713,24.357164,2.6150491,92.05331,0.5971885,22.579597,0.0,9.826088,20.079916,24.2195,15.4695,0.0,0.42333332,0.4412917,0.48274997,0.4698846,20.921583,4.4927545,71.76,1.3486644,16.479685,0.0,17.555307,18.144083,23.5795,15.8795,8.100001,0.31420833,0.30399993,0.34045836,0.33096462,21.406584,1.1338845,89.79819,0.40356374,16.920212,0.0,16.946787
2005-02-02,21.669664,23.328,20.278,7.2000003,0.49362502,0.47250006,0.50729156,0.4990288,22.884247,1.9834179,93.26196,0.44985056,20.821138,0.0,13.979871,19.927835,23.869501,15.769501,0.0,0.4075416,0.43283328,0.47958323,0.46472287,20.586166,4.0940423,73.08282,1.1860617,16.526999,0.0,19.66536,15.560752,17.3295,14.0295,5.5000005,0.36920834,0.30487493,0.34100005,0.3353883,17.900331,1.105337,86.75702,0.4581586,14.026642,0.0,16.870138
2005-02-03,22.421751,25.528,20.078,11.8,0.50408334,0.48991665,0.50387514,0.5009584,22.953001,2.2829587,90.67053,0.7078135,21.214415,0.0,9.227524,20.48825,25.119501,16.7195,1.9,0.4000417,0.42529157,0.4763751,0.4603041,21.240334,4.6914105,73.69269,1.2993011,17.135738,0.0,15.84409,16.42325,19.3795,14.8295,4.1000004,0.4217917,0.30916664,0.34100005,0.33997044,17.819082,1.768314,84.87453,0.6893879,14.632809,0.0,17.811815
2005-02-04,23.269667,27.477999,20.778,3.7,0.5054167,0.50525004,0.5030002,0.5036417,23.748833,2.8833358,92.10877,0.91136765,22.218401,0.0,5.4119864,20.3445,24.9695,17.0695,6.8,0.4230833,0.42004165,0.47312507,0.45847467,21.248667,4.0253634,79.61871,1.1084619,17.7524,0.0,15.725037,19.504498,25.6295,13.8795,3.0,0.416375,0.315375,0.34054175,0.340565,20.048246,3.9718418,76.84528,1.2529707,16.546404,0.0,14.277983
2005-02-05,24.969671,30.627998,21.178,3.9,0.49562493,0.50004166,0.50212514,0.5012325,25.132164,4.416766,87.36215,1.7010643,23.182686,0.0,4.73506,20.384087,25.869501,16.119501,2.5,0.45424998,0.421625,0.47024998,0.45891878,21.49867,4.9901557,79.07402,1.3029983,17.684553,0.0,14.77755,22.404503,29.2795,15.829501,0.8,0.39437497,0.31749997,0.3396249,0.33881128,23.121168,5.463475,73.96849,1.8899062,18.842962,0.0,11.770403
2005-02-06,26.075914,31.028,21.828,0.2,0.48525,0.4915,0.5001249,0.49727258,26.12175,4.690369,83.96276,1.9230745,23.773592,0.0,5.8603754,20.34867,25.7195,15.619501,0.0,0.43766668,0.41975006,0.4669583,0.45499417,21.365332,5.40105,69.66438,1.554151,16.45095,0.0,15.273505,23.921167,29.9795,18.3295,0.2,0.36716667,0.31645834,0.33862492,0.33596793,24.585747,5.7234154,65.64108,2.3089027,19.076414,0.0,11.090103
2005-02-07,26.83008,32.378,21.578,0.5,0.46820846,0.47920826,0.4974585,0.49157825,26.790497,5.201987,76.21102,2.4039915,23.320787,0.0,6.439876,19.077833,24.5195,14.1695,0.0,0.40645838,0.41341674,0.46362495,0.44907954,20.550749,5.718512,62.811672,1.7983571,14.360222,0.0,16.700275,23.708666,30.1295,18.1295,0.0,0.33879164,0.31383333,0.3375833,0.33268043,24.814917,6.8742647,46.94466,3.1534522,16.085527,0.0,14.33234
2005-02-08,27.019669,31.727999,22.578,0.4,0.45733333,0.46758342,0.49437496,0.48615587,27.090498,5.0707574,77.79427,2.0107436,23.793083,0.0,7.289445,18.807,24.7195,13.369499,0.0,0.38133338,0.40545833,0.46000004,0.44303966,20.125751,5.670935,63.91759,1.6686538,14.260999,0.0,17.015474,23.050333,29.3295,17.8295,0.0,0.31362498,0.31112498,0.33654165,0.32959998,24.612831,6.204267,50.760223,2.8736959,16.130844,0.0,14.007655
2005-02-09,25.56967,29.928,21.778,2.3,0.46258342,0.46033338,0.49158338,0.48299083,26.388414,4.1452394,85.18053,1.3251543,23.532804,0.0,8.534353,19.242414,25.119501,13.8195,0.0,0.36099994,0.39749995,0.45645824,0.43739507,20.467417,5.6230717,64.30198,1.849542,14.692594,0.0,14.869351,23.6045,29.5295,18.7295,0.7,0.29525003,0.30829173,0.3355,0.32696876,24.75033,5.8457265,53.793716,2.6680374,17.147635,0.0,15.893093
2005-02-10,24.425917,28.828,22.078,18.2,0.49204168,0.4877917,0.48999986,0.4896792,25.352999,3.064326,91.16807,1.2358093,23.235947,0.0,8.534353,19.946585,25.1695,14.119501,0.0,0.3458333,0.39037502,0.4527501,0.43216714,20.623667,4.6974897,67.508995,1.8634855,15.656175,0.0,8.209263,23.289917,28.4795,19.1295,2.5,0.29125002,0.30616656,0.33450004,0.3255225,24.975328,5.005039,67.451225,2.041642,18.789625,0.0,14.241629
2005-02-11,24.717583,28.928,21.477999,13.499999,0.4647917,0.48733327,0.5012501,0.49577543,25.313416,3.5813572,88.43894,1.332514,23.13272,0.0,6.151683,19.959082,25.3195,15.8195,1.6,0.33887497,0.38483334,0.44974995,0.42835632,20.434084,3.9039323,73.1533,1.282286,16.545645,0.0,14.917212,20.339916,23.5295,17.7295,2.3000002,0.31262502,0.3045833,0.33366677,0.3260863,22.752417,4.160874,74.90409,1.2938106,17.125353,0.0,18.11841
