date,temperature_2m_mean_korla,temperature_2m_max_korla,temperature_2m_min_korla,precipitation_sum_korla,soil_moisture_0_to_7cm_mean_korla,soil_moisture_7_to_28cm_mean_korla,soil_moisture_28_to_100cm_mean_korla,soil_moisture_0_to_100cm_mean_korla,soil_temperature_0_to_7cm_mean_korla,et0_fao_evapotranspiration_sum_korla,relative_humidity_2m_mean_korla,vapour_pressure_deficit_max_korla,wet_bulb_temperature_2m_mean_korla,snowfall_water_equivalent_sum_korla,wind_speed_10m_max_korla,temperature_2m_mean_rajkot,temperature_2m_max_rajkot,temperature_2m_min_rajkot,precipitation_sum_rajkot,soil_moisture_0_to_7cm_mean_rajkot,soil_moisture_7_to_28cm_mean_rajkot,soil_moisture_28_to_100cm_mean_rajkot,soil_moisture_0_to_100cm_mean_rajkot,soil_temperature_0_to_7cm_mean_rajkot,et0_fao_evapotranspiration_sum_rajkot,relative_humidity_2m_mean_rajkot,vapour_pressure_deficit_max_rajkot,wet_bulb_temperature_2m_mean_rajkot,snowfall_water_equivalent_sum_rajkot,wind_speed_10m_max_rajkot,temperature_2m_mean_nagpur,temperature_2m_max_nagpur,temperature_2m_min_nagpur,precipitation_sum_nagpur,soil_moisture_0_to_7cm_mean_nagpur,soil_moisture_7_to_28cm_mean_nagpur,soil_moisture_28_to_100cm_mean_nagpur,soil_moisture_0_to_100cm_mean_nagpur,soil_temperature_0_to_7cm_mean_nagpur,et0_fao_evapotranspiration_sum_nagpur,relative_humidity_2m_mean_nagpur,vapour_pressure_deficit_max_nagpur,wet_bulb_temperature_2m_mean_nagpur,snowfall_water_equivalent_sum_nagpur,wind_speed_10m_max_nagpur
2020-10-11,10.522916,14.35,3.85,0.0,0.20300002,0.24300002,0.24700005,0.2430801,11.431251,2.7938137,31.395445,1.2876518,3.6445122,0.0,19.296133,29.68125,36.15,24.6,0.0,0.266,0.31033334,0.37862495,0.3564,31.081253,5.35374,58.665394,4.3162737,22.794235,0.0,12.879752,28.949999,29.7,28.3,0.3,0.0,0.0,0.0,0.0,30.429169,4.9033537,79.944466,1.0403624,26.106873,0.0,20.746122
2020-10-12,12.193751,16.45,5.45,0.0,0.20300002,0.24300002,0.24700005,0.2430801,12.085418,2.8127966,27.747223,1.508465,4.4964204,0.0,13.089354,29.120834,36.15,22.85,0.0,0.2590417,0.30508333,0.3750417,0.35223046,30.877083,5.309498,56.015305,4.370597,21.758772,0.0,9.793058,28.768747,29.75,27.95,0.4,0.0,0.0,0.0,0.0,30.433329,5.068135,79.28357,1.2254426,25.83203,0.0,27.21038
2020-10-13,10.316667,15.75,4.95,0.0,0.20300002,0.24300002,0.24700005,0.2430801,11.510415,3.0423574,34.34516,1.3369012,3.750927,0.0,15.379206,29.856249,36.65,23.4,0.0,0.25533327,0.30116662,0.37216666,0.34907833,30.829168,6.085468,47.754322,4.757903,20.84139,0.0,15.778516,28.206247,29.3,26.3,3.9999998,0.0,0.0,0.0,0.0,30.420832,4.7317066,80.67401,1.0737739,25.495,0.0,26.434887
2020-10-14,11.612499,15.8,5.3,0.0,0.20300002,0.24300002,0.24700005,0.2430801,11.108333,2.9300659,33.03767,1.3740118,4.636418,0.0,13.276144,29.747917,34.95,23.8,0.3,0.25908324,0.3011667,0.37091663,0.34844086,30.472916,5.609555,47.44662,3.0583923,21.64163,0.0,18.0,27.985418,28.95,26.75,0.70000005,0.0,0.0,0.0,0.0,30.327085,4.307789,81.30462,0.91026545,25.38162,0.0,25.671307
2020-10-15,11.337499,15.6,4.6,0.0,0.20300002,0.24300002,0.24700005,0.2430801,10.360416,2.7986972,33.745945,1.3059757,4.5441217,0.0,16.279802,30.527082,35.65,26.35,4.7000003,0.26995832,0.30275002,0.37104163,0.3496246,31.518753,5.1627645,61.93976,3.2159843,24.626732,0.0,20.291357,28.360418,29.85,27.65,0.1,0.0,0.0,0.0,0.0,30.404173,4.519065,79.10342,1.2317216,25.417463,0.0,18.806337
2020-10-16,10.660417,16.4,3.95,0.0,0.20300002,0.24300002,0.24700005,0.2430801,10.358335,2.5588744,38.099094,1.4075742,4.2743926,0.0,8.78872,29.445833,33.35,25.8,1.9,0.32316673,0.2990834,0.36825,0.35056916,30.885422,4.3246083,70.19738,2.4206634,24.937935,0.0,14.336861,28.472916,29.1,27.95,2.5,0.0,0.0,0.0,0.0,30.42291,4.3986197,80.83679,0.9079735,25.784155,0.0,22.805367
2020-10-17,11.250001,14.5,5.6,0.0,0.20300002,0.24300002,0.24700005,0.2430801,9.724999,2.2830892,34.509876,1.1883366,4.5803847,0.0,14.654254,28.018751,33.45,25.3,11.599999,0.3535833,0.29991668,0.36716673,0.35209334,30.143751,3.3856683,81.89263,2.297694,25.385393,0.0,10.587917,27.88125,28.95,26.9,9.1,0.0,0.0,0.0,0.0,30.316666,4.3626575,83.45531,0.87351966,25.590006,0.0,33.864883
2020-10-18,11.893749,17.45,4.0,0.0,0.20300002,0.24300002,0.24700005,0.2430801,10.027083,2.6233327,33.62585,1.6166847,4.80217,0.0,10.587917,27.581247,32.1,24.45,1.2,0.421875,0.30150005,0.3638333,0.35480627,29.391668,3.549547,85.02023,1.8110678,25.433268,0.0,12.4811535,26.860413,28.2,25.5,18.7,0.0,0.0,0.0,0.0,30.195833,3.6443522,84.9059,0.8670144,24.805056,0.0,33.667217
2020-10-19,12.697919,18.1,8.35,0.0,0.20300002,0.24300002,0.24700005,0.2430801,10.431249,3.1412506,26.629623,1.7028933,4.800241,0.0,17.238699,27.327085,31.55,24.5,7.1,0.42520836,0.30437493,0.36133337,0.3538433,29.231249,2.9023852,87.348145,1.5289884,25.543808,0.0,11.183201,26.787497,27.9,25.65,17.400002,0.0,0.0,0.0,0.0,29.933329,3.2880762,82.9074,0.86891246,24.450006,0.0,32.68871
2020-10-20,11.645833,17.6,4.9,0.0,0.20300002,0.24300002,0.24700005,0.2430801,9.741666,2.9916387,32.715427,1.617893,4.5142503,0.0,19.386593,27.668755,32.2,24.2,1.2,0.4124583,0.3085417,0.3575416,0.35109583,29.647919,3.4641027,83.37473,1.9737515,25.25472,0.0,10.365251,27.400002,28.25,25.7,9.400001,0.0,0.0,0.0,0.0,29.864584,3.3689687,80.872795,0.95470786,24.751413,0.0,27.729347
